iso,country,nb_agreements,status,first_participation,country_profile
ARE,United Arab Emirates,2,Ad hoc,1979,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/emirats-arabes-unis.html
AUS,Australia,29,Permanent,1966,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/australie.html
AUT,Austria,259,Permanent,1956,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/autriche.html
BEL,Belgium,297,Permanent,1956,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/belgique.html
BRA,Brazil,78,Permanent,1985,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/bresil.html
CAN,Canada,236,Permanent,1965,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/canada.html
CHE,Switzerland,231,Permanent,1992,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/suisse.html
CHN,China,3,Ad hoc,2022,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/chine.html
CZE,Czech Republic,1,Ad hoc,2024,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/republique-tcheque.html
DEU,Germany,380,Permanent,1956,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/allemagne.html
DNK,Denmark,164,Permanent,1956,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/danemark.html
ESP,Spain,276,Permanent,1965,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/espagne.html
FIN,Finland,85,Permanent,1978,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/finlande.html
FRA,France,459,Permanent,1956,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/france.html
GBR,United Kingdom,375,Permanent,1956,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/royaume-uni.html
HUN,Hungary,1,Ad hoc,2024,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/hongrie.html
IND,India,4,Ad hoc,1922,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/inde.html
