iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
AFG,Afghanistan,25027500.00,1590096820.00,1615124320.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/afghanistan.html
AGO,Angola,728650631.30,1576721886.00,2305372517.30,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/angola.html
ALB,Albania,881861241.70,60143826.99,942005068.69,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/albanie.html
ARE,United Arab Emirates,0.00,1900168960.00,1900168960.00,encours,
ARG,Argentina,266188063.10,806530106.30,1072718169.40,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/argentine.html
ARM,Armenia,911624887.80,68265451.60,979890339.40,encours,
ATG,Antigua and Barbuda,3762772.95,137916362.20,141679135.15,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/antigua-et-barbuda.html
AZE,Azerbaijan,778520609.20,65478436.34,843999045.54,encours,
BDI,Burundi,0.00,0.00,0.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/burundi.html
BEN,Benin,505819181.90,420038692.30,925857874.20,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/benin.html
BFA,Burkina Faso,354970617.60,25512923.93,380483541.53,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/burkina-faso.html
BGD,Bangladesh,15182360556.00,9972940277.00,25155300833.00,encours,
BGR,Bulgaria,46616527.35,0.00,46616527.35,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/bulgarie.html
BHR,Bahrain,0.00,22450000.00,22450000.00,encours,
BIH,Bosnia and Herzegovina,169005471.80,214217459.90,383222931.70,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/bosnie-herzegovine.html
BLR,Belarus,7467860.81,9199521754.00,9206989614.81,encours,
BOL,Bolivia,946940342.20,7940000.00,954880342.20,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/bolivie.html
BRA,Brazil,0.00,0.00,0.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/bresil.html
BRB,Barbados,29375000.00,0.00,29375000.00,encours,
BWA,Botswana,115346705.10,0.00,115346705.10,encours,
CAF,Central African Republic,17625000.00,1027625.08,18652625.08,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/centrafrique.html
CHL,Chile,31196250.00,6756781.00,37953031.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/chili.html
CHN,China,7180676016.00,472017668.80,7652693684.80,encours,
CIV,Côte d'Ivoire,2163306059.00,981771289.20,3145077348.20,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/cote-d-ivoire.html
CMR,Cameroon,1323672529.00,132941802.30,1456614331.30,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/cameroun.html
COD,Democratic Republic of Congo,77448981.39,8612750.00,86061731.39,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/democratic-republic-of-congo.html
COG,Congo,259616447.00,280930988.10,540547435.10,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/congo.html
COL,Colombia,5010592419.00,97938067.79,5108530486.79,encours,
COM,Comoros,0.00,2131547.18,2131547.18,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/comores.html
CPV,Cabo Verde,120623163.00,50759439.68,171382602.68,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/cap-vert.html
CRI,Costa Rica,586314436.60,40051129.10,626365565.70,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/costa-rica.html
CUB,Cuba,300808990.10,4494667115.00,4795476105.10,encours,
CZE,Czech Republic,0.00,19223000.00,19223000.00,encours,
DJI,Djibouti,66058100.86,3400224.96,69458325.82,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/djibouti.html
DMA,Dominica,6465955.02,90000.00,6555955.02,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/dominique.html
DOM,Dominican Republic,1689346739.00,121497133.70,1810843872.70,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/republique-dominicaine.html
DZA,Algeria,62674856.78,3292643.03,65967499.81,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/algerie.html
ECU,Ecuador,1609466229.00,201461420.80,1810927649.80,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/equateur.html
EGY,Arab Republic of Egypt,7354992772.00,7469433953.00,14824426725.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/egypte.html
ERI,Eritrea,92774677.46,0.00,92774677.46,encours,
ETH,Ethiopia,1203866465.00,749396069.60,1953262534.60,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/ethiopie.html
