iso,pays,nb_accords,statut,premiere_participation,fiche_pays
ARE,Émirats arabes unis,2,Ad hoc,1979,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/emirats-arabes-unis.html
AUS,Australie,29,Permanent,1966,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/australie.html
AUT,Autriche,259,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/autriche.html
BEL,Belgique,297,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/belgique.html
BRA,Brésil,78,Permanent,1985,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/bresil.html
CAN,Canada,236,Permanent,1965,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/canada.html
CHE,Suisse,231,Permanent,1992,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/suisse.html
CHN,République populaire de Chine,3,Ad hoc,2022,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/chine.html
CZE,République tchèque,1,Ad hoc,2024,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/republique-tcheque.html
DEU,Allemagne,380,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/allemagne.html
DNK,Danemark,164,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/danemark.html
ESP,Espagne,276,Permanent,1965,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/espagne.html
FIN,Finlande,85,Permanent,1978,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/finlande.html
FRA,France,459,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/france.html
GBR,Royaume-Uni,375,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/royaume-uni.html
HUN,Hongrie,1,Ad hoc,2024,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/hongrie.html
IND,Inde,4,Ad hoc,1922,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/inde.html
IRL,Irlande,4,Permanent,1986,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/irlande.html
ISR,Israël,38,Permanent,1983,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/israel.html
ITA,Italie,377,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/italie.html
JPN,Japon,328,Permanent,1964,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/japon.html
KOR,République de Corée,28,Permanent,1998,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/republique-de-coree.html
KWT,Koweït,8,Ad hoc,1985,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/koweit.html
MAR,Maroc,5,Ad hoc,1986,
MEX,Mexique,2,Ad hoc,1983,
NLD,Pays-Bas,297,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/pays-bas.html
NOR,Norvège,154,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/norvege.html
NZL,Nouvelle-Zélande,7,Ad hoc,1966,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/nouvelle-zelande.html
PRT,Portugal,19,Ad hoc,1983,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/portugal.html
RUS,Fédération de Russie,89,Permanent,1997,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/federation-de-russie.html
SAU,Arabie saoudite,3,Ad hoc,2022,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/arabie-saoudite.html
SWE,Suède,170,Permanent,1956,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/suede.html
TTO,Trinité-et-Tobago,3,Ad hoc,1996,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/trinite-tobaggo.html
TUR,Turquie,6,Ad hoc,2001,
USA,États-Unis d'Amérique,364,Permanent,1964,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/etats-unis-d-amerique.html
ZAF,Afrique du Sud,10,Prospectif,1984,https://clubdeparis.org/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par-pays-crediteurs/afrique-du-sud.html
