year,iso,sources_label,nb_accords,statut,premiere_participation
2025,ARE,EMIRATS ARABES UNIS,2,Ad hoc,1979
2025,ARG,ARGENTINE,1,Ad hoc,1983
2025,AUS,AUSTRALIE,29,,1966
2025,AUT,AUTRICHE,259,,1956
2025,BEL,BELGIQUE,297,,1956
2025,BRA,BRESIL,78,,1985
2025,CAN,CANADA,236,,1965
2025,CHE,SUISSE,232,,1992
2025,CHN,CHINE,4,Ad hoc,2022
2025,CZE,REPUBLIQUE TCHEQUE,1,Ad hoc,2024
2025,DEU,ALLEMAGNE,380,,1956
2025,DNK,DANEMARK,165,,1956
2025,ESP,ESPAGNE,276,,1965
2025,FIN,FINLANDE,86,,1962
2025,FRA,FRANCE,460,,1956
2025,GBR,ROYAUME-UNI,375,,1956
2025,HUN,HONGRIE,1,Ad hoc,2024
2025,IND,INDE,5,Ad hoc,2022
2025,IRL,IRLANDE,4,,1986
2025,ISR,ISRAEL,39,,1983
2025,ITA,ITALIE,378,,1956
2025,JPN,JAPON,329,,1964
2025,KOR,REPUBLIQUE DE COREE,29,,1998
2025,KWT,KOWEIT,8,Ad hoc,1985
2025,MAR,MAROC,5,Ad hoc,1986
2025,MEX,MEXIQUE,2,Ad hoc,1983
2025,NLD,PAYS-BAS,297,,1956
2025,NOR,NORVEGE,154,,1956
2025,NZL,NOUVELLE-ZELANDE,7,Ad hoc,1966
2025,PRT,PORTUGAL,19,Ad hoc,1983
2025,RUS,FEDERATION DE RUSSIE,89,,1997
2025,SAU,ARABIE SAOUDITE,4,Ad hoc,2022
2025,SWE,SUEDE,171,,1956
2025,TTO,TRINITE & TOBAGGO,3,Ad hoc,1996
2025,TUR,TURQUIE,7,Ad hoc,2001
2025,USA,ETATS-UNIS D'AMERIQUE,364,,1964
2025,ZAF,AFRIQUE DU SUD,16,Prospectif,1982
