iso,name_en_wb,wb_status,name_fr_csv,in_apd_dataset
ABW,Aruba (Neth.),Territory,Aruba (P.-B.),True
AFG,Afghanistan,Member State,Afghanistan,True
AGO,Angola,Member State,Angola,True
AIA,Anguilla (U.K.),Territory,Anguilla (R.-U.),True
ALA,Aaland (Fin.),Territory,Åland (Fin.),True
ALB,Albania,Member State,Albanie,True
AND,Andorra,Member State,Andorre,True
ARE,United Arab Emirates,Member State,Émirats arabes unis,True
ARG,Argentina,Member State,Argentine,True
ARM,Armenia,Member State,Arménie,True
ASM,American Samoa (U.S.),Territory,Samoa américaines (É.-U.),True
ATF,French Southern and Antarctic Lands (Fr.),Territory,Terres australes et antarctiques françaises (Fr.),True
ATG,Antigua and Barbuda,Member State,Antigua-et-Barbuda,True
AUS,Australia,Member State,Australie,True
AUT,Austria,Member State,Autriche,True
AZE,Azerbaijan,Member State,Azerbaïdjan,True
BDI,Burundi,Member State,Burundi,True
BEL,Belgium,Member State,Belgique,True
BEN,Benin,Member State,Bénin,True
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",Territory,"Bonaire, Saint-Eustache et Saba (P.-B.)",True
BFA,Burkina Faso,Member State,Burkina Faso,True
BGD,Bangladesh,Member State,Bangladesh,True
BGR,Bulgaria,Member State,Bulgarie,True
BHR,Bahrain,Member State,Bahreïn,True
BHS,The Bahamas,Member State,Bahamas,True
BIH,Bosnia and Herzegovina,Member State,Bosnie-Herzégovine,True
BLM,Saint-Barthélemy (Fr.),Territory,Saint-Barthélemy (Fr.),True
BLR,Belarus,Member State,Biélorussie,True
BLZ,Belize,Member State,Belize,True
BMU,Bermuda (U.K.),Territory,Bermudes (R.-U.),True
BOL,Bolivia,Member State,Bolivie,True
BRA,Brazil,Member State,Brésil,True
BRB,Barbados,Member State,Barbade,True
BRN,Brunei Darussalam,Member State,Brunei,True
BTN,Bhutan,Member State,Bhoutan,True
BVT,Bouvet Island (Nor.),Territory,Île Bouvet (Nor.),True
BWA,Botswana,Member State,Botswana,True
CAF,Central African Republic,Member State,République centrafricaine,True
CAN,Canada,Member State,Canada,True
